long,lat,year,TimePeriod,RCP,scenario,treecanopy,Ann_Herb,Bare,Herb,Litter,Shrub,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,PPT_Annual,T_Winter,T_Summer,T_Annual,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.0472,37.60413,2021,NT,4.5,sc22,0,0,84,5,11,7,0,3.242229615,36.314,73,0.092986513,5.94,6.37,6.37,1.630333,24.50402,24.50402,36.89,-12.77,0.114651809,0.078763989,0.043514264,0.051281007
-110.0472,37.60413,2021,NT,4.5,sc23,0,0,84,5,11,7,0,2.401611466,36.51,71,0.000105789,6.44,3.09,3.09,1.389056,24.11043,24.11043,37.95,-18.96,0.130221069,0.096412164,0.041232208,0.092241333
-110.0472,37.60413,2021,NT,4.5,sc24,0,0,84,5,11,7,0,2.681787884,37.398,87,0.026097993,5.35,5.32,6.87,-0.3343889,25.54266,10.31321,37.74,-16.23,0.077885617,0.086245933,0.042103883,0.074321095
-110.0472,37.60413,2021,NT,4.5,sc25,0,0,84,5,11,7,0,3.11969415,36.742,84,0.004468848,11.26,5.47,5.77,0.2397222,24.67777,14.10902,38.19,-14.65,0.119738518,0.08643755,0.041664596,0.042953646
-110.0472,37.60413,2021,NT,4.5,sc26,0,0,84,5,11,7,0,1.175709763,37.263,81,5.58E-05,8.22,2.44,2.44,1.9209444,26.89082,26.89082,39.06,-14.71,0.115214397,0.098152848,0.040845671,0.045311813
-110.0472,37.60413,2021,NT,4.5,sc27,0,0,84,5,11,7,0,2.254093212,35.824,81,0.045080657,9.13,4.62,,-1.829167,24.64592,,36.31,-23.58,0.064277017,0.086495966,0.042136887,0.067332978
-110.0472,37.60413,2021,NT,4.5,sc28,0,0,84,5,11,7,0,2.272200576,36.263,72,0.000696913,8.46,4.54,4.54,2.264056,24.51821,24.51821,37.88,-11.05,0.121805534,0.081281296,0.041397716,0.060121713
-110.0472,37.60413,2021,NT,4.5,sc29,0,0,84,5,11,7,0,4.41953409,34.311,71,0.170480616,6.54,11.2,6.54,1.313667,23.21864,1.313667,34.91,-16.95,0.076941316,0.074012383,0.04556893,0.046894161
-110.0472,37.60413,2021,NT,4.5,sc30,0,0,84,5,11,7,0,5.135498625,33.516,74,0.093512606,6.16,10.55,,0.9275556,21.53522,,34.45,-13.74,0.12204221,0.094537787,0.043981641,0.044248632
-110.0472,37.60413,2021,NT,4.5,sc31,0,0,84,5,11,7,0,3.498559116,35.226,46,0.024788036,11.92,6.2,18.81,4.041111,24.35891,12.28659,35.48,-7.89,0.134460708,0.104618674,0.042226219,0.108619337
-110.0472,37.60413,2021,NT,4.5,sc32,0,0,84,5,11,7,0,2.554226922,36.837,76,0.000176558,3.96,3.71,,0.7305,24.99908,,38.68,-20.42,0.121300843,0.069934201,0.041409035,0.09008986
-110.0472,37.60413,2021,NT,4.5,sc33,0,0,84,5,11,7,0,2.702640058,35.964,79,0.014327109,1.71,4.78,1.71,0.5327222,23.50429,0.5327222,37.02,-16.98,0.046616851,0.041990543,0.041820226,0.07616523
-110.0472,37.60413,2021,NT,4.5,sc34,0,0,84,5,11,7,0,2.294950311,36.048,87,0.000672171,1.01,3.88,,1.589833,24.48821,,36.82,-14,0.076496881,0.055428476,0.0414452,0.081552378
-110.0472,37.60413,2021,NT,4.5,sc35,0,0,84,5,11,7,0,5.047826977,36.011,65,0.058438917,4.36,9.94,5.18,1.281222,23.43946,1.281222,36.59,-20.23,0.13075932,0.083341596,0.043248229,0.103612588
-110.0472,37.60413,2021,NT,4.5,sc36,0,0,84,5,11,7,0,5.04887934,35.357,82,0.000892607,4.09,7.97,7.97,0.2788889,23.75033,23.75033,36.5,-12.45,0.057889999,0.045301794,0.042020703,0.048773896
-110.0472,37.60413,2021,NT,4.5,sc37,0,0,84,5,11,7,0,4.146357333,35.799,67,0.015156503,8.28,7.77,7.77,1.660222,22.42103,11.61255,37.77,-12.01,0.133525008,0.089878266,0.042601839,0.058552739
-110.0472,37.60413,2021,NT,4.5,sc38,0,0,84,5,11,7,0,5.039597406,39.86,65,0.609380493,7.58,14.51,,1.615444,24.13647,,40.83,-10.95,0.109518544,0.08419415,0.054535639,0.099746145
-110.0472,37.60413,2021,NT,4.5,sc39,0,0,84,5,11,7,0,0.454546644,37.699,75,1.61E-08,7.59,0.43,7.63,1.206556,24.29799,14.35637,38.51,-8.49,0.119485627,0.085734123,0.040617703,0.050767204
-110.0472,37.60413,2021,NT,4.5,sc40,0,0,84,5,11,7,0,4.66234083,34.819,84,0.164651882,4.13,10.31,,-1.330333,23.3262,,35.81,-16.4,0.118494429,0.080066001,0.04551854,0.07813543
-110.0472,37.60413,2021,NT,4.5,sc41,0,0,84,5,11,7,0,4.986399569,36.085,75,0.216834438,9.16,10.37,6.73,0.4598889,24.01207,12.68093,37.68,-13.72,0.13249577,0.082670497,0.046346756,0.048883565
-110.0472,37.60413,2021,NT,8.5,sc42,0,0,84,5,11,7,0,2.485249019,36.053,79,0.008816353,8.32,4.53,,0.8491111,23.93522,,37.29,-16.48,0.124435112,0.087669273,0.041831093,0.063906859
-110.0472,37.60413,2021,NT,8.5,sc43,0,0,84,5,11,7,0,1.325501473,37.617,78,0.000343441,11.13,1.52,,0.1072778,23.80016,,38.23,-17.99,0.117532341,0.090345295,0.041144038,0.063767903
-110.0472,37.60413,2021,NT,8.5,sc44,0,0,84,5,11,7,0,3.573589163,37.031,58,0.239108255,10.56,11.45,11.45,3.5195,24.5506,24.5506,38.29,-9.89,0.124323956,0.086127204,0.04673757,0.078030251
-110.0472,37.60413,2021,NT,8.5,sc45,0,0,84,5,11,7,0,2.836118492,37.518,80,0.150099761,10.02,7.05,10.02,0.7257778,25.265,0.7257778,38.98,-12.39,0.125908116,0.09075612,0.044311562,0.086878859
-110.0472,37.60413,2021,NT,8.5,sc46,0,0,84,5,11,7,0,1.72419667,36.008,81,0.124036713,6.44,3.81,3.28,2.314333,23.66168,2.314333,36.82,-10.19,0.100141715,0.074750224,0.043859158,0.048058822
-110.0472,37.60413,2021,NT,8.5,sc47,0,0,84,5,11,7,0,2.553871167,36.064,75,0.00058785,12.59,4.43,5.72,-0.5291111,25.1325,-0.5291111,37.13,-21.65,0.105116117,0.092972447,0.041739071,0.084752604
-110.0472,37.60413,2021,NT,8.5,sc48,0,0,84,5,11,7,0,3.082020733,36.1,64,0.091957876,16.56,7.69,,0.9506667,23.645,,37.29,-12,0.140373114,0.088265448,0.043381008,0.058910953
-110.0472,37.60413,2021,NT,8.5,sc49,0,0,84,5,11,7,0,2.584961427,36.937,70,0.000325689,11.32,4.11,4.11,0.9246667,24.28136,24.28136,38.67,-22.92,0.136426578,0.076697339,0.041503448,0.046815472
-110.0472,37.60413,2021,NT,8.5,sc50,0,0,84,5,11,7,0,5.286882799,32.84,83,0.176796152,11.07,13.08,13.08,-1.747222,22.42234,-1.747222,33.46,-21.03,0.135025767,0.091135161,0.045913608,0.068502483
-110.0472,37.60413,2021,NT,8.5,sc51,0,0,84,5,11,7,0,4.528294211,35.056,78,0.411939042,3.21,11.97,3.21,-0.03755556,24.20826,24.20826,36.07,-15.26,0.131177551,0.068152035,0.050149351,0.112948697
-110.0472,37.60413,2021,NT,8.5,sc52,0,0,84,5,11,7,0,4.498182769,34.804,87,0.441357238,16.88,10.36,16.88,-4.154111,23.50728,-4.154111,36.14,-18.29,0.128308991,0.095068841,0.05066889,0.062392658
-110.0472,37.60413,2021,NT,8.5,sc53,0,0,84,5,11,7,0,3.014933706,36.128,85,0.003544107,1.65,4.45,4.45,0.5523889,24.04897,12.83626,37.64,-13.8,0.042684652,0.041642655,0.041611537,0.081452139
-110.0472,37.60413,2021,NT,8.5,sc54,0,0,84,5,11,7,0,2.064949411,36.975,81,0.000738049,10.15,2.89,2.89,-0.7743889,25.37935,25.37935,37.43,-15.32,0.079569713,0.091675429,0.041143238,0.042470243
-110.0472,37.60413,2021,NT,8.5,sc55,0,0,84,5,11,7,0,6.379255322,35.185,73,0.381092935,7.83,13.53,13.53,1.796111,22.17935,12.24978,36.92,-12.56,0.13410389,0.088944264,0.049818504,0.068023999
-110.0472,37.60413,2021,NT,8.5,sc56,0,0,84,5,11,7,0,4.678256528,34.823,80,0.373598745,9.38,11.24,9.38,0.88,23.0887,12.97907,35.88,-13.03,0.13378156,0.086007982,0.049778294,0.058245577
-110.0472,37.60413,2021,NT,8.5,sc57,0,0,84,5,11,7,0,2.5899085,36.848,48,0.050250178,8.76,5.23,8.76,4.756333,24.42685,4.756333,39.57,-7.82,0.089082742,0.089082589,0.042421983,0.052786125
-110.0472,37.60413,2021,NT,8.5,sc58,0,0,84,5,11,7,0,5.087284146,40.56,59,0.208729027,3.27,12.95,3.97,1.644222,25.95793,14.18402,46.11,-21.87,0.060713853,0.0442884,0.046407802,0.047402957
-110.0472,37.60413,2021,NT,8.5,sc59,0,0,84,5,11,7,0,3.170343286,36.195,54,0.085879434,3.68,7.01,3.68,4.044722,24.7375,4.044722,37.4,-7.98,0.095422792,0.057910617,0.042777361,0.125534405
-110.0472,37.60413,2021,NT,8.5,sc60,0,0,84,5,11,7,0,3.088694797,36.104,89,0.085200006,2.9,7.13,,-2.063833,23.5575,,37.13,-16.87,0.045425705,0.057101731,0.043625662,0.085740433
-110.0472,37.60413,2021,NT,8.5,sc61,0,0,84,5,11,7,0,1.000088214,37.05,50,0.000661648,12.34,1.95,1.95,3.256778,24.65141,24.65141,38.21,-15.57,0.123177862,0.093732547,0.041085028,0.07872618
-110.0472,37.60413,2022,NT,4.5,sc22,0,0,84,5,11,7,0,2.8122258,36.77,76,0.017330113,1.95,4.79,4.3,2.071222,25.17375,15.49885,37.84,-7.93,0.064363408,0.060081333,0.041041545,0.046376416
-110.0472,37.60413,2022,NT,4.5,sc23,0,0,84,5,11,7,0,2.950635629,36.685,65,0.001003688,17.4,4.83,17.4,1.933278,24.46223,1.933278,38.18,-11.86,0.138586613,0.085469439,0.041712842,0.102554215
-110.0472,37.60413,2022,NT,4.5,sc24,0,0,84,5,11,7,0,3.388561781,36.306,60,0.054746749,6.49,7.43,,2.366778,24.9225,,38.31,-8.04,0.131728542,0.079592414,0.042969793,0.076488304
